//; ASTROX IMPERIUM : SCRIPTING EDITOR : JACE MASULA 2025
// SCRIPT;	ID;	LABEL;	COMMAND;	CHAIN;	VALUE 1;	VALUE 2;	VALUE 3;	VALUE 4;	VALUE 5;	VALUE 6;	VALUE 7;	VALUE 8	
// -------------------------------------------------------------------------------------------------------------------------------------
SCRIPT;		10;		START;		OPTION;		0;		I really dont have time to make small chat with you. I am already behind schedule and unless I get some help out here, I won't make it home for dinner.[n][n]You wouldn't be interested in earning a few extra credits would you?;		npc_structure_missions.txt>15>What do you have in mind?;		npc_structure_missions.txt>20>No thanks, I am quite busy myself.;		;		null;		null;		null;		null;		171.45;		-116.66
SCRIPT;		15;		job;		OPTION;		0;		I promised a friend I would help clear out some ore from an area we plan on building a structure. There are only a few pieces left to remove. If you could help me clear out one of the rocks, I will gladly compensate you.[n][n]You up for the task?;		npc_structure_missions.txt>30>Sure, let's do it;		npc_structure_missions.txt>20>Not really.;		;		null;		null;		null;		null;		364.34;		-115.48
SCRIPT;		20;		none;		NPC_CHAT;		0;		Hey no problem. I understand.;		60;		npc_structure_missions.txt>0>Good luck with your stuff.;		000;		null;		null;		null;		null;		365.43;		-195.17
SCRIPT;		30;		mission;		GET_MISSION;		40;		60;		0;		npc_structure_missions.txt;		0;		null;		null;		null;		null;		566.78;		-114.29
SCRIPT;		40;		bye;		NPC_CHAT;		0;		Excellent. I have transfered all the mission information to your ship. You will be compensated once the mission is complete. Thanks again for the help.;		60;		npc_structure_missions.txt>0>Thanks, I won't let you down.;		null;		null;		null;		null;		null;		783.49;		-113.10
SCRIPT;		110;		START;		OPTION;		0;		If you are looking to earn a few extra credits, you have come to the right place buddy. I have a stack of missions here that need some attention.[n][n]How about it? ;		npc_structure_missions.txt>115>What kind of mission?;		npc_structure_missions.txt>120>No thanks, maybe next time.;		;		null;		null;		null;		null;		170.22;		-361.17
SCRIPT;		115;		job;		OPTION;		0;		I specialize in mining missions. Some are big, some are small jobs, but all of them pay. I have established myself in this sector by delivering these contracts to capable pilots.[n][n]If you are interested in taking on one of these contracts, say the word.;		npc_structure_missions.txt>130>Sure, let's do it;		npc_structure_missions.txt>120>Sounds a bit sketchy.;		;		null;		null;		null;		null;		361.88;		-362.44
SCRIPT;		120;		none;		NPC_CHAT;		0;		Lazy pilots never make it far in this universe. Come back when you are ready for work.;		60;		npc_structure_missions.txt>0>Okay.;		000;		null;		null;		null;		null;		361.74;		-460.56
SCRIPT;		130;		mission;		GET_MISSION;		140;		60;		14;		npc_structure_missions.txt;		0;		null;		null;		null;		null;		564.33;		-358.79
SCRIPT;		140;		bye;		NPC_CHAT;		0;		Excellent. I have transfered all the mission information to your ship. You will be compensated once the mission is complete. Thanks again for the help.;		60;		npc_structure_missions.txt>0>Thanks, I won't let you down.;		null;		null;		null;		null;		null;		781.03;		-361.29
SCRIPT;		210;		START;		OPTION;		0;		Welcome to the Recovery desk. I have a stack of  contracts if you are looking to earn some credits. I know what you are thinking, but trust me. Collecting derelict crates is not as bad as it sounds. You can find some valuable stuff out there.[n][n]You look interested, how about I sign you up for a job.;		npc_structure_missions.txt>215>What do I have to do?;		npc_structure_missions.txt>220>Not right now.;		;		null;		null;		null;		null;		176.37;		-616.73
SCRIPT;		215;		job;		OPTION;		0;		All you really need is enough cargo space to handle a medium crate. Other than that, it is fairly straight foward. Once you recover the goods, transport them to the target station and get paid. [n][n]Are you ready to recover some medium crates?;		npc_structure_missions.txt>230>Let's do it.;		npc_structure_missions.txt>220>Maybe another time.;		;		null;		null;		null;		null;		366.80;		-618.01
SCRIPT;		220;		none;		NPC_CHAT;		0;		Well, if you change you mind, I will be right here with a stack of these salvage contracts.;		60;		npc_structure_missions.txt>0>Thanks, I just might do that.;		000;		null;		null;		null;		null;		369.11;		-712.44
SCRIPT;		230;		mission;		GET_MISSION;		240;		85;		15;		npc_structure_missions.txt;		0;		null;		null;		null;		null;		566.78;		-618.05
