// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Desban
STATION;type;Evidence Holding Facility
STATION;owner;Qajel Fonsalea
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;6
STATION;icon;desban.png
STATION;filename;sector_42_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-8-0-3-1-2-3-1-5-2-2-0-90
STATION;interior_seed;5-9-45-7
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;False
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;0.76;npc_ship_data_(support_utility_1).txt
MERC;4;1.31;npc_ship_data_(support_carrier_1).txt
MERC;9;1.43;npc_ship_data_(support_carrier_1).txt
MERC;1;1.75;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
ITEM;1100;8;0.59;0
ITEM;1051;34;1.16;0
ITEM;1013;29;0.75;0
ITEM;1152;24;0.54;0
ITEM;1174;37;1.16;0
ITEM;1173;12;1.24;0
ITEM;1125;22;0.80;37104.7
ITEM;1070;54;0.87;32500.24
ITEM;1470;13;0.88;32500.24
ITEM;1009;19;1.30;3065.334
ITEM;1103;42;0.90;3270.004
ITEM;1008;38;0.99;2700.95
ITEM;1069;55;0.83;2700.95
ITEM;1026;39;0.97;2700.95
ITEM;1153;58;1.13;23568.58
ITEM;1025;34;0.95;23568.58
ITEM;1202;1;1.14;23568.58
ITEM;1476;47;0.88;408516.6
ITEM;1401;55;1.14;12294.21
ITEM;1105;39;0.60;12294.21
ITEM;1003;47;0.50;12294.21
ITEM;1004;28;0.58;12294.21
ITEM;1050;2;1.14;12294.21
ITEM;1150;56;1.23;12294.21
ITEM;1531;16;1.12;6114.506
ITEM;1564;47;1.11;6114.506
ITEM;1760;41;0.84;6114.506
ITEM;1634;12;1.25;6114.506
ITEM;1591;53;0.76;2975.936
ITEM;1731;15;1.22;5074.794
ITEM;1650;52;1.23;8447.861
ITEM;1762;39;0.81;8845.029
ITEM;1766;27;0.58;8845.029
ITEM;1581;55;0.95;11750.84
ITEM;1644;48;1.23;11750.84
ITEM;1643;47;0.55;123797.9
ITEM;1582;18;1.21;47217.05
ITEM;1560;58;0.80;47217.05
ITEM;1653;56;0.62;47217.05
ITEM;1750;20;0.97;2257.606
ITEM;1571;55;1.03;2257.606
ITEM;1623;22;0.97;2257.606
ITEM;1730;18;1.03;2257.606
ITEM;1602;55;1.18;2257.606
ITEM;1617;11;0.61;2257.606
ITEM;1521;36;1.19;2257.606
ITEM;1500;8;1.03;1327.824
ITEM;1619;39;0.72;1327.824
ITEM;1611;36;1.12;1327.824
ITEM;1573;32;0.55;52347.42
ITEM;1632;37;1.18;52347.42
ITEM;2126;107;1.25;52347.42
ITEM;2128;235;0.53;52347.42
ITEM;50;22;1.13;52347.42
ITEM;2119;285;1.04;52347.42
ITEM;70;55;0.76;52347.42
ITEM;2122;79;0.87;52347.42
ITEM;43;149;1.14;41.60672
ITEM;76;21;0.74;41.60672
ITEM;41;27;0.77;41.60672
ITEM;2124;252;1.25;1420.331
ITEM;63;32;0.92;1420.331
ITEM;42;148;0.78;1420.331
ITEM;75;67;0.97;1420.331
ITEM;2114;145;0.66;53.65188
ITEM;2123;257;0.80;53.65188
ITEM;2117;288;0.87;53.65188
ITEM;2115;122;0.99;53.65188
ITEM;2127;151;0.90;53.65188
ITEM;2118;180;1.03;53.65188
ITEM;2113;72;1.02;53.65188
ITEM;2651;194;0.97;691.4433
ITEM;758;90;0.50;691.4433
ITEM;759;98;0.80;148277.9
ITEM;701;24;1.17;6320.656
ITEM;710;97;0.83;4620.478
ITEM;733;86;1.04;113124.5
ITEM;711;66;1.10;113124.5
ITEM;746;37;0.78;113124.5
ITEM;730;90;0.94;46663.35
ITEM;753;75;0.66;123745.9
ITEM;702;31;0.91;5018.999
ITEM;680;36;0.77;5018.999
ITEM;693;116;0.68;9327.807
ITEM;736;62;0.60;69723.81
ITEM;747;24;1.13;122828.8
ITEM;674;117;0.66;122828.8
ITEM;738;91;0.69;937877.6
ITEM;721;29;0.91;937877.6
ITEM;732;28;0.74;937877.6
ITEM;755;13;0.68;937877.6
ITEM;740;25;1.22;19774.79
ITEM;748;101;0.71;19774.79
ITEM;729;64;1.19;19774.79
ITEM;727;39;0.79;13235.49
ITEM;757;97;0.93;13235.49
ITEM;720;109;0.81;13235.49
ITEM;712;109;0.85;13235.49
ITEM;750;94;0.80;13235.49
ITEM;742;51;0.53;13235.49
ITEM;677;63;1.27;293521.6
ITEM;692;10;0.67;293521.6
ITEM;621;9;0.81;293521.6
ITEM;643;12;1.16;62712.02
ITEM;622;10;0.98;62712.02
ITEM;624;16;0.57;62712.02
ITEM;663;3;1.01;62712.02
ITEM;665;2;1.19;62712.02
ITEM;660;28;0.74;62712.02
ITEM;625;16;0.52;62712.02
ITEM;641;17;0.90;9966.571
ITEM;645;27;0.56;9966.571
ITEM;620;21;0.73;4118.635
ITEM;604;14;0.60;90653.78
ITEM;623;1;1.06;90653.78
ITEM;662;25;1.07;90653.78
ITEM;664;13;0.71;104741.6
ITEM;600;29;0.66;104741.6
ITEM;642;19;0.77;104741.6
ITEM;601;24;0.95;104741.6
ITEM;644;20;1.17;104741.6
ITEM;605;12;0.57;104741.6
ITEM;640;13;0.52;104741.6
ITEM;603;25;0.74;41660.89
ITEM;661;22;0.70;41660.89
ITEM;602;13;0.88;41660.89
ITEM;341;17;0.67;41660.89
ITEM;407;25;0.57;288.1719
ITEM;310;24;1.00;288.1719
ITEM;322;56;0.98;288.1719
ITEM;333;34;0.77;288.1719
ITEM;406;14;0.63;288.1719
ITEM;303;17;1.18;288.1719
ITEM;320;51;1.02;288.1719
ITEM;312;15;1.02;288.1719
ITEM;324;8;0.96;288.1719
ITEM;405;45;0.78;288.1719
ITEM;408;55;1.02;288.1719
ITEM;305;28;0.80;288.1719
ITEM;332;33;0.59;47.09587
ITEM;342;39;0.70;47.09587
ITEM;340;16;0.67;47.09587
ITEM;343;21;0.65;47.09587
ITEM;325;50;1.21;47.09587
ITEM;301;32;0.65;47.09587
ITEM;403;29;1.17;29.11006
ITEM;304;11;0.69;107.5599
ITEM;300;5;0.95;65.09637
ITEM;330;30;1.12;65.09637
ITEM;331;51;1.19;184.4211
ITEM;404;5;1.00;27.30301
